,id,link,title,month,year,tag,lang,shit,dirty,cleared_title,equals_persian_links,equals_persian_links_counts
30,30,https://www.bbc.com/tajik/news/2015/03/150318_l16_k03_helmand_blast,150318_l16_k03_helmand_blast,03,2015,news,tajik,l16,l16,helmand_blast,"['https://www.bbc.com/persian/afghanistan/2014/10/141008_k04_helmand_blast', 'https://www.bbc.com/persian/afghanistan/2010/03/100331_k01_helmand_blast']",2
33,33,https://www.bbc.com/tajik/news/2015/03/150318_ea_netanyhu_elections,150318_ea_netanyhu_elections,03,2015,news,tajik,ea,ea,netanyhu_elections,['https://www.bbc.com/persian/world/2015/03/150317_u04_netanyhu_elections'],1
34,34,https://www.bbc.com/tajik/news/2015/03/150317_l16_me_snake_poison,150317_l16_me_snake_poison,03,2015,news,tajik,l16,l16,me_snake_poison,['https://www.bbc.com/persian/science/2015/03/150317_me_snake_poison'],1
43,43,https://www.bbc.com/tajik/news/2015/03/150316_rm_tikrit_sddam,150316_rm_tikrit_sddam,03,2015,news,tajik,rm,rm,tikrit_sddam,"['https://www.bbc.com/persian/world/2015/03/150315_u04_tikrit_sddam', 'https://www.bbc.com/persian/world/2015/03/150315_u04_tikrit_sddam']",2
44,44,https://www.bbc.com/tajik/news/2015/03/150316_rm_putin_nuclearalert,150316_rm_putin_nuclearalert,03,2015,news,tajik,rm,rm,putin_nuclearalert,['https://www.bbc.com/persian/world/2015/03/150315_u04_putin_nuclearalert'],1
45,45,https://www.bbc.com/tajik/news/2015/03/150315_l16_l57_kerry_assad_negotiate,150315_l16_l57_kerry_assad_negotiate,03,2015,news,tajik,l16,l16,kerry_assad_negotiate,['https://www.bbc.com/persian/world/2015/03/150315_l57_kerry_assad_negotiate'],1
46,46,https://www.bbc.com/tajik/news/2015/03/150315_l16_l10_white_house_letter_senate,150315_l16_l10_white_house_letter_senate,03,2015,news,tajik,l16,l16,white_house_letter_senate,"['https://www.bbc.com/persian/iran/2015/03/150315_l10_white_house_letter_senate', 'https://www.bbc.com/persian/iran/2015/03/150315_l10_white_house_letter_senate']",2
47,47,https://www.bbc.com/tajik/news/2015/03/150315_l16_l30_vatican_isis_military,150315_l16_l30_vatican_isis_military,03,2015,news,tajik,l16,l16,vatican_isis_military,"['https://www.bbc.com/persian/world/2015/03/150315_l30_vatican_isis_military', 'https://www.bbc.com/persian/world/2015/03/150315_l30_vatican_isis_military']",2
48,48,https://www.bbc.com/tajik/news/2015/03/150315_l16_mar_us_likely_to_delay_withdrawal_of_troops,150315_l16_mar_us_likely_to_delay_withdrawal_of_troops,03,2015,news,tajik,l16,l16,mar_us_likely_to_delay_withdrawal_of_troops,['https://www.bbc.com/persian/afghanistan/2015/03/150315_mar_us_likely_to_delay_withdrawal_of_troops'],1
49,49,https://www.bbc.com/tajik/news/2015/03/150315_l30_pakistan_lahore_church_blasts,150315_l30_pakistan_lahore_church_blasts,03,2015,news,tajik,l30,l30,pakistan_lahore_church_blasts,"['https://www.bbc.com/persian/world/2015/03/150315_l30_pakistan_lahore_church_blasts', 'https://www.bbc.com/persian/world/2015/03/150315_l30_pakistan_lahore_church_blasts']",2
54,54,https://www.bbc.com/tajik/news/2015/03/150313_rm_commerzbank_paying_billions_settle_cases_us_sanctions,150313_rm_commerzbank_paying_billions_settle_cases_us_sanctions,03,2015,news,tajik,rm,rm,commerzbank_paying_billions_settle_cases_us_sanctions,['https://www.bbc.com/persian/world/2015/03/150312_u14_commerzbank_paying_billions_settle_cases_us_sanctions'],1
56,56,https://www.bbc.com/tajik/news/2015/03/150312_rm_syria_un_relief,150312_rm_syria_un_relief,03,2015,news,tajik,rm,rm,syria_un_relief,['https://www.bbc.com/persian/world/2015/03/150312_l03_syria_un_relief'],1
58,58,https://www.bbc.com/tajik/news/2015/03/150312_rm_isis_iraq_chlorine_gas,150312_rm_isis_iraq_chlorine_gas,03,2015,news,tajik,rm,rm,isis_iraq_chlorine_gas,['https://www.bbc.com/persian/world/2015/03/150312_l31_isis_iraq_chlorine_gas'],1
59,59,https://www.bbc.com/tajik/news/2015/03/150312_rm_nemtsov_putin,150312_rm_nemtsov_putin,03,2015,news,tajik,rm,rm,nemtsov_putin,"['https://www.bbc.com/persian/world/2015/03/150311_u04_nemtsov_putin', 'https://www.bbc.com/persian/world/2015/02/150227_u07_boris_nemtsov_putin_dead']",2
60,60,https://www.bbc.com/tajik/news/2015/03/150311_l16_an_russia_nemtsov,150311_l16_an_russia_nemtsov,03,2015,news,tajik,l16,l16,an_russia_nemtsov,"['https://www.bbc.com/persian/world/2015/03/150311_an_russia_nemtsov', 'https://www.bbc.com/persian/world/2015/03/150303_an_russia_nemtsov']",2
61,61,https://www.bbc.com/tajik/news/2015/03/150311_l16_an_china_xinjiang_mulims_isis,150311_l16_an_china_xinjiang_mulims_isis,03,2015,news,tajik,l16,l16,an_china_xinjiang_mulims_isis,['https://www.bbc.com/persian/world/2015/03/150311_an_china_xinjiang_mulims_isis'],1
63,63,https://www.bbc.com/tajik/news/2015/03/150311_l16_l30_pakistan_attack_mqm,150311_l16_l30_pakistan_attack_mqm,03,2015,news,tajik,l16,l16,pakistan_attack_mqm,['https://www.bbc.com/persian/world/2015/03/150311_l30_pakistan_attack_mqm'],1
66,66,https://www.bbc.com/tajik/news/2015/03/150311_rm_jeremy_clarkson_suspended_bbc,150311_rm_jeremy_clarkson_suspended_bbc,03,2015,news,tajik,rm,rm,jeremy_clarkson_suspended_bbc,['https://www.bbc.com/persian/sport/2015/03/150310_l56_jeremy_clarkson_suspended_bbc'],1
70,70,https://www.bbc.com/tajik/news/2015/03/150310_rm_iran_assembly_of_experts_khobregan_17,150310_rm_iran_assembly_of_experts_khobregan_17,03,2015,news,tajik,rm,rm,iran_assembly_of_experts_khobregan_17,"['https://www.bbc.com/persian/iran/2015/03/150310_l26_iran_assembly_of_experts_khobregan_17', 'https://www.bbc.com/persian/iran/2015/03/150310_l26_iran_assembly_of_experts_khobregan_17']",2
71,71,https://www.bbc.com/tajik/news/2015/03/150310_rm_french_argentina,150310_rm_french_argentina,03,2015,news,tajik,rm,rm,french_argentina,['https://www.bbc.com/persian/world/2015/03/150308_u04_french_argentina'],1
73,73,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_crimea_russia_putin,150309_l16_l31_crimea_russia_putin,03,2015,news,tajik,l16,l16,crimea_russia_putin,['https://www.bbc.com/persian/world/2015/03/150309_l31_crimea_russia_putin'],1
74,74,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_syria_refinery_isis,150309_l16_l31_syria_refinery_isis,03,2015,news,tajik,l16,l16,syria_refinery_isis,['https://www.bbc.com/persian/world/2015/03/150309_l31_syria_refinery_isis'],1
76,76,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_gcc_yemen_saudiarabia,150309_l16_l31_gcc_yemen_saudiarabia,03,2015,news,tajik,l16,l16,gcc_yemen_saudiarabia,['https://www.bbc.com/persian/world/2015/03/150309_l31_gcc_yemen_saudiarabia'],1
79,79,https://www.bbc.com/tajik/news/2015/03/150308_l16_l31_russia_nemtsov_murder,150308_l16_l31_russia_nemtsov_murder,03,2015,news,tajik,l16,l16,russia_nemtsov_murder,['https://www.bbc.com/persian/world/2015/03/150308_l31_russia_nemtsov_murder'],1
81,81,https://www.bbc.com/tajik/news/2015/03/150308_l16_l31_arms_saudiarabia_defence_spending,150308_l16_l31_arms_saudiarabia_defence_spending,03,2015,news,tajik,l16,l16,arms_saudiarabia_defence_spending,['https://www.bbc.com/persian/world/2015/03/150308_l31_arms_saudiarabia_defence_spending'],1
84,84,https://www.bbc.com/tajik/news/2015/03/150307_ea_nemtsov_killing_suspect_russia,150307_ea_nemtsov_killing_suspect_russia,03,2015,news,tajik,ea,ea,nemtsov_killing_suspect_russia,['https://www.bbc.com/persian/world/2015/03/150307_l26_nemtsov_killing_suspect_russia'],1
85,85,https://www.bbc.com/tajik/news/2015/03/150307_ea_iraqi_army_recaptured_albaghdadi_isis,150307_ea_iraqi_army_recaptured_albaghdadi_isis,03,2015,news,tajik,ea,ea,iraqi_army_recaptured_albaghdadi_isis,['https://www.bbc.com/persian/world/2015/03/150306_u14_iraqi_army_recaptured_albaghdadi_isis'],1
87,87,https://www.bbc.com/tajik/news/2015/03/150306_rm_nuc_montreaux_comments,150306_rm_nuc_montreaux_comments,03,2015,news,tajik,rm,rm,nuc_montreaux_comments,['https://www.bbc.com/persian/iran/2015/03/150306_l03_nuc_montreaux_comments'],1
89,89,https://www.bbc.com/tajik/news/2015/03/150306_zkh_murder_quvvatov_24grup,150306_zkh_murder_quvvatov_24grup,03,2015,news,tajik,zkh,zkh,murder_quvvatov_24grup,['https://www.bbc.com/persian/world/2015/03/150306_rm_zkh_murder_quvvatov_24grup'],1
90,90,https://www.bbc.com/tajik/news/2015/03/150306_rm_iraq_isis_bulldozed_ancient_assyrian_nimrud,150306_rm_iraq_isis_bulldozed_ancient_assyrian_nimrud,03,2015,news,tajik,rm,rm,iraq_isis_bulldozed_ancient_assyrian_nimrud,['https://www.bbc.com/persian/world/2015/03/150306_u14_iraq_isis_bulldozed_ancient_assyrian_nimrud'],1
91,91,https://www.bbc.com/tajik/news/2015/03/150305_l16_me_blast_hits_aleppo_intelligence_hq,150305_l16_me_blast_hits_aleppo_intelligence_hq,03,2015,news,tajik,l16,l16,me_blast_hits_aleppo_intelligence_hq,['https://www.bbc.com/persian/world/2015/03/150305_me_blast_hits_aleppo_intelligence_hq'],1
92,92,https://www.bbc.com/tajik/news/2015/03/150305_l16_me_china_hopes_iran_nuclear_deal_done,150305_l16_me_china_hopes_iran_nuclear_deal_done,03,2015,news,tajik,l16,l16,me_china_hopes_iran_nuclear_deal_done,['https://www.bbc.com/persian/iran/2015/03/150305_me_china_hopes_iran_nuclear_deal_done'],1
97,97,https://www.bbc.com/tajik/news/2015/03/150304_l16_l30_india_raipist_iv,150304_l16_l30_india_raipist_iv,03,2015,news,tajik,l16,l16,india_raipist_iv,['https://www.bbc.com/persian/world/2015/03/150304_l30_india_raipist_iv'],1
102,102,https://www.bbc.com/tajik/news/2015/03/150304_rm_obama_reax_netaniahu_iran_deal,150304_rm_obama_reax_netaniahu_iran_deal,03,2015,news,tajik,rm,rm,obama_reax_netaniahu_iran_deal,['https://www.bbc.com/persian/iran/2015/03/150303_l10_obama_reax_netaniahu_iran_deal'],1
115,115,https://www.bbc.com/tajik/news/2015/03/150301_l16_l31_egypt_election_parliament,150301_l16_l31_egypt_election_parliament,03,2015,news,tajik,l16,l16,egypt_election_parliament,['https://www.bbc.com/persian/world/2015/03/150301_l31_egypt_election_parliament'],1
120,120,https://www.bbc.com/tajik/news/2015/02/150227_ea_eugenics_compensation,150227_ea_eugenics_compensation,02,2015,news,tajik,ea,ea,eugenics_compensation,['https://www.bbc.com/persian/world/2015/02/150227_l03_eugenics_compensation'],1
121,121,https://www.bbc.com/tajik/news/2015/02/150227_ea_isis_destroys_ancient_iraq_statues_mosul,150227_ea_isis_destroys_ancient_iraq_statues_mosul,02,2015,news,tajik,ea,ea,isis_destroys_ancient_iraq_statues_mosul,['https://www.bbc.com/persian/world/2015/02/150226_u14_isis_destroys_ancient_iraq_statues_mosul'],1
129,129,https://www.bbc.com/tajik/news/2015/02/150225_l16_an_ukraine_russia_france,150225_l16_an_ukraine_russia_france,02,2015,news,tajik,l16,l16,an_ukraine_russia_france,['https://www.bbc.com/persian/world/2015/02/150225_an_ukraine_russia_france'],1
130,130,https://www.bbc.com/tajik/news/2015/02/150225_l16_l03_amnesty_unsc_veto,150225_l16_l03_amnesty_unsc_veto,02,2015,news,tajik,l16,l16,amnesty_unsc_veto,['https://www.bbc.com/persian/world/2015/02/150225_l03_amnesty_unsc_veto'],1
133,133,https://www.bbc.com/tajik/news/2015/02/150224_l16_l26_syria_islamic_state_christian_abduction,150224_l16_l26_syria_islamic_state_christian_abduction,02,2015,news,tajik,l16,l16,syria_islamic_state_christian_abduction,"['https://www.bbc.com/persian/world/2015/02/150224_l26_syria_islamic_state_christian_abduction', 'https://www.bbc.com/persian/world/2015/02/150224_l26_syria_islamic_state_christian_abduction']",2
134,134,https://www.bbc.com/tajik/news/2015/02/150224_l16_an_france_paris_drones,150224_l16_an_france_paris_drones,02,2015,news,tajik,l16,l16,an_france_paris_drones,"['https://www.bbc.com/persian/world/2015/02/150224_an_france_paris_drones', 'https://www.bbc.com/persian/world/2015/02/150224_an_france_paris_drones']",2
135,135,https://www.bbc.com/tajik/news/2015/02/150224_l16_an_ukraine_russia_gas,150224_l16_an_ukraine_russia_gas,02,2015,news,tajik,l16,l16,an_ukraine_russia_gas,"['https://www.bbc.com/persian/world/2015/02/150224_an_ukraine_russia_gas', 'https://www.bbc.com/persian/world/2015/02/150224_an_ukraine_russia_gas']",2
140,140,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_egypt_blogger-jail,150223_l16_l31_egypt_blogger-jail,02,2015,news,tajik,l16,l16,egypt_blogger-jail,['https://www.bbc.com/persian/world/2015/02/150223_l31_egypt_blogger-jail'],1
141,141,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_us_isis_kuwait,150223_l16_l31_us_isis_kuwait,02,2015,news,tajik,l16,l16,us_isis_kuwait,['https://www.bbc.com/persian/world/2015/02/150223_l31_us_isis_kuwait'],1
147,147,https://www.bbc.com/tajik/news/2015/02/150223_ea_ukraine_marches,150223_ea_ukraine_marches,02,2015,news,tajik,ea,ea,ukraine_marches,['https://www.bbc.com/persian/world/2015/02/150222_u04_ukraine_marches'],1
148,148,https://www.bbc.com/tajik/news/2015/02/150222_l16_l26_iran_ambassador_resident_libya_tripoli_explosion,150222_l16_l26_iran_ambassador_resident_libya_tripoli_explosion,02,2015,news,tajik,l16,l16,iran_ambassador_resident_libya_tripoli_explosion,['https://www.bbc.com/persian/iran/2015/02/150222_l26_iran_ambassador_resident_libya_tripoli_explosion'],1
149,149,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_kharkiv_blast_ukrain,150222_l16_l10_kharkiv_blast_ukrain,02,2015,news,tajik,l16,l16,kharkiv_blast_ukrain,['https://www.bbc.com/persian/world/2015/02/150222_l10_kharkiv_blast_ukrain'],1
150,150,https://www.bbc.com/tajik/news/2015/02/150222_l16_k03_badakshan_avalanch,150222_l16_k03_badakshan_avalanch,02,2015,news,tajik,l16,l16,badakshan_avalanch,['https://www.bbc.com/persian/afghanistan/2015/02/150222_k03_badakshan_avalanch'],1
152,152,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_ukrain_weapon_pullout_agreed,150222_l16_l10_ukrain_weapon_pullout_agreed,02,2015,news,tajik,l16,l16,ukrain_weapon_pullout_agreed,['https://www.bbc.com/persian/world/2015/02/150222_l10_ukrain_weapon_pullout_agreed'],1
156,156,https://www.bbc.com/tajik/news/2015/02/150220_ea_iraqi_kurds_prepare_retaking_mosul,150220_ea_iraqi_kurds_prepare_retaking_mosul,02,2015,news,tajik,ea,ea,iraqi_kurds_prepare_retaking_mosul,['https://www.bbc.com/persian/world/2015/02/150219_u14_iraqi_kurds_prepare_retaking_mosul'],1
159,159,https://www.bbc.com/tajik/news/2015/02/150219_l16_l45_greece_loan_extension,150219_l16_l45_greece_loan_extension,02,2015,news,tajik,l16,l16,greece_loan_extension,['https://www.bbc.com/persian/business/2015/02/150219_l45_greece_loan_extension'],1
160,160,https://www.bbc.com/tajik/news/2015/02/150219_l16_an_uk_russia_aircrafts,150219_l16_an_uk_russia_aircrafts,02,2015,news,tajik,l16,l16,an_uk_russia_aircrafts,['https://www.bbc.com/persian/world/2015/02/150219_an_uk_russia_aircrafts'],1
162,162,https://www.bbc.com/tajik/news/2015/02/150219_ea_us_taliban_peace_talks_qatar,150219_ea_us_taliban_peace_talks_qatar,02,2015,news,tajik,ea,ea,us_taliban_peace_talks_qatar,['https://www.bbc.com/persian/afghanistan/2015/02/150219_k03_us_taliban_peace_talks_qatar'],1
163,163,https://www.bbc.com/tajik/news/2015/02/150219_ea_iran_nuclear_zarif_kerry,150219_ea_iran_nuclear_zarif_kerry,02,2015,news,tajik,ea,ea,iran_nuclear_zarif_kerry,['https://www.bbc.com/persian/iran/2015/02/150219_l45_iran_nuclear_zarif_kerry'],1
167,167,https://www.bbc.com/tajik/news/2015/02/150219_ea_obama_extremism,150219_ea_obama_extremism,02,2015,news,tajik,ea,ea,obama_extremism,['https://www.bbc.com/persian/world/2015/02/150218_u04_obama_extremism'],1
168,168,https://www.bbc.com/tajik/news/2015/02/150218_l16_k04_un_report_on_civilian_causalities,150218_l16_k04_un_report_on_civilian_causalities,02,2015,news,tajik,l16,l16,un_report_on_civilian_causalities,['https://www.bbc.com/persian/afghanistan/2015/02/150218_k04_un_report_on_civilian_causalities'],1
169,169,https://www.bbc.com/tajik/news/2015/02/150218_l16_l20_ukraine_troops,150218_l16_l20_ukraine_troops,02,2015,news,tajik,l16,l16,ukraine_troops,['https://www.bbc.com/persian/world/2015/02/150218_l20_ukraine_troops'],1
170,170,https://www.bbc.com/tajik/news/2015/02/150218_zkh_interior_iran_visit,150218_zkh_interior_iran_visit,02,2015,news,tajik,zkh,zkh,interior_iran_visit,['https://www.bbc.com/persian/world/2015/02/150218_l16_zkh_interior_iran_visit'],1
175,175,https://www.bbc.com/tajik/news/2015/02/150217_l16_an_syria_army_aleppo,150217_l16_an_syria_army_aleppo,02,2015,news,tajik,l16,l16,an_syria_army_aleppo,['https://www.bbc.com/persian/world/2015/02/150217_an_syria_army_aleppo'],1
176,176,https://www.bbc.com/tajik/news/2015/02/150217_l16_an_pakistan_lahore_attack,150217_l16_an_pakistan_lahore_attack,02,2015,news,tajik,l16,l16,an_pakistan_lahore_attack,['https://www.bbc.com/persian/world/2015/02/150217_an_pakistan_lahore_attack'],1
177,177,https://www.bbc.com/tajik/news/2015/02/150217_l16_l26_libya_egypt_un_islamic_state_isis,150217_l16_l26_libya_egypt_un_islamic_state_isis,02,2015,news,tajik,l16,l16,libya_egypt_un_islamic_state_isis,['https://www.bbc.com/persian/world/2015/02/150217_l26_libya_egypt_un_islamic_state_isis'],1
178,178,https://www.bbc.com/tajik/news/2015/02/150217_ea_iran_cyber_spyware_nsa_us_kasperskey,150217_ea_iran_cyber_spyware_nsa_us_kasperskey,02,2015,news,tajik,ea,ea,iran_cyber_spyware_nsa_us_kasperskey,['https://www.bbc.com/persian/iran/2015/02/150217_l26_iran_cyber_spyware_nsa_us_kasperskey'],1
182,182,https://www.bbc.com/tajik/news/2015/02/150217_ea_iran_nuclear_israel_netanyahu_leak_us,150217_ea_iran_nuclear_israel_netanyahu_leak_us,02,2015,news,tajik,ea,ea,iran_nuclear_israel_netanyahu_leak_us,['https://www.bbc.com/persian/iran/2015/02/150216_l26_iran_nuclear_israel_netanyahu_leak_us'],1
188,188,https://www.bbc.com/tajik/news/2015/02/150216_ea_egyptian_christians_killed_isis_libya,150216_ea_egyptian_christians_killed_isis_libya,02,2015,news,tajik,ea,ea,egyptian_christians_killed_isis_libya,['https://www.bbc.com/persian/world/2015/02/150215_egyptian_christians_killed_isis_libya'],1
191,191,https://www.bbc.com/tajik/news/2015/02/150215_l16_l51_denmark_shooting,150215_l16_l51_denmark_shooting,02,2015,news,tajik,l16,l16,denmark_shooting,"['https://www.bbc.com/persian/world/2015/02/150215_l51_denmark_shooting_', 'https://www.bbc.com/persian/world/2015/02/150214_l45_denmark_shooting']",2
193,193,https://www.bbc.com/tajik/news/2015/02/150214_mm_obama_muslim_students,150214_mm_obama_muslim_students,02,2015,news,tajik,mm,mm,obama_muslim_students,['https://www.bbc.com/persian/world/2015/02/150213_obama_muslim_students'],1
195,195,https://www.bbc.com/tajik/news/2015/02/150213_ea_us_welcomes_ukraine_peace_minsk,150213_ea_us_welcomes_ukraine_peace_minsk,02,2015,news,tajik,ea,ea,us_welcomes_ukraine_peace_minsk,['https://www.bbc.com/persian/world/2015/02/150212_u14_us_welcomes_ukraine_peace_minsk'],1
196,196,https://www.bbc.com/tajik/news/2015/02/150213_mm_rln_russia_court,150213_mm_rln_russia_court,02,2015,news,tajik,mm,mm,russia_court,['https://www.bbc.com/persian/world/2011/10/111009_l26_s300_iran_russia_court'],1
201,201,https://www.bbc.com/tajik/news/2015/02/150212_ea_ukraine_agreement,150212_ea_ukraine_agreement,02,2015,news,tajik,ea,ea,ukraine_agreement,['https://www.bbc.com/persian/world/2015/02/150212_l03_ukraine_agreement'],1
202,202,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_shootings_us_muslims,150211_l16_an_shootings_us_muslims,02,2015,news,tajik,l16,l16,an_shootings_us_muslims,['https://www.bbc.com/persian/world/2015/02/150211_an_shootings_us_muslims'],1
203,203,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_migrants_boat_missing,150211_l16_an_migrants_boat_missing,02,2015,news,tajik,l16,l16,an_migrants_boat_missing,['https://www.bbc.com/persian/world/2015/02/150211_an_migrants_boat_missing'],1
204,204,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_ukraine_putin_usa_russia,150211_l16_an_ukraine_putin_usa_russia,02,2015,news,tajik,l16,l16,an_ukraine_putin_usa_russia,['https://www.bbc.com/persian/world/2015/02/150211_an_ukraine_putin_usa_russia'],1
207,207,https://www.bbc.com/tajik/news/2015/02/150211_sq_l26_us_hostage_islamic_state_kayla_mueller_death,150211_sq_l26_us_hostage_islamic_state_kayla_mueller_death,02,2015,news,tajik,sq,sq,us_hostage_islamic_state_kayla_mueller_death,['https://www.bbc.com/persian/world/2015/02/150210_l26_us_hostage_islamic_state_kayla_mueller_death'],1
210,210,https://www.bbc.com/tajik/news/2015/02/150210_l16_assad_bbc_interview,150210_l16_assad_bbc_interview,02,2015,news,tajik,l16,l16,assad_bbc_interview,['https://www.bbc.com/persian/iran/2015/02/150210_l03_assad_bbc_interview'],1
211,211,https://www.bbc.com/tajik/news/2015/02/150210_ea_rouhani_iran_nuclear_talks,150210_ea_rouhani_iran_nuclear_talks,02,2015,news,tajik,ea,ea,rouhani_iran_nuclear_talks,['https://www.bbc.com/persian/iran/2015/02/150210_l26_rouhani_iran_nuclear_talks'],1
215,215,https://www.bbc.com/tajik/news/2015/02/150210_ea_ravansar_assassination,150210_ea_ravansar_assassination,02,2015,news,tajik,ea,ea,ravansar_assassination,['https://www.bbc.com/persian/iran/2015/02/150210_l03_ravansar_assassination'],1
217,217,https://www.bbc.com/tajik/news/2015/02/150209_l16_samsung_tv_listening_,150209_l16_samsung_tv_listening_,02,2015,news,tajik,l16,l16,samsung_tv_listening,['https://www.bbc.com/persian/science/2015/02/150209_l26_samsung_tv_listening_'],1
218,218,https://www.bbc.com/tajik/news/2015/02/150209_l16_china_executes_mafia_tycoon,150209_l16_china_executes_mafia_tycoon,02,2015,news,tajik,l16,l16,china_executes_mafia_tycoon,['https://www.bbc.com/persian/world/2015/02/150209_l26_china_executes_mafia_tycoon'],1
219,219,https://www.bbc.com/tajik/news/2015/02/150209_ea_mulla_rauf_helmand,150209_ea_mulla_rauf_helmand,02,2015,news,tajik,ea,ea,mulla_rauf_helmand,['https://www.bbc.com/persian/afghanistan/2015/02/150209_zs_mulla_rauf_helmand'],1
220,220,https://www.bbc.com/tajik/news/2015/02/150209_ea_ukraine_putin_peaceplan,150209_ea_ukraine_putin_peaceplan,02,2015,news,tajik,ea,ea,ukraine_putin_peaceplan,['https://www.bbc.com/persian/world/2015/02/150209_l31_ukraine_putin_peaceplan'],1
221,221,https://www.bbc.com/tajik/news/2015/02/150209_sq_rln_saidov,150209_sq_rln_saidov,02,2015,news,tajik,sq,sq,saidov,['https://www.bbc.com/persian/world/2014/07/140715_rm_mm_saidov_appeal'],1
223,223,https://www.bbc.com/tajik/news/2015/02/150209_ea_ukraine_germany_us-plan,150209_ea_ukraine_germany_us-plan,02,2015,news,tajik,ea,ea,ukraine_germany_us-plan,['https://www.bbc.com/persian/world/2015/02/150209_l30_ukraine_germany_us-plan'],1
225,225,https://www.bbc.com/tajik/news/2015/02/150209_ea_iran_nuclear_talks_extension_kerry,150209_ea_iran_nuclear_talks_extension_kerry,02,2015,news,tajik,ea,ea,iran_nuclear_talks_extension_kerry,['https://www.bbc.com/persian/iran/2015/02/150208_l26_iran_nuclear_talks_extension_kerry'],1
